Post_Content,Requirement_Category,Poster_Name,Poster_Designation,Poster_Company,Post_URL,Collection_Timestamp
"We're open for business! For any waste management requirements, please contact us on the number below and one of our team will be happy to assist.",G-Other Hazardous Waste,Jonny Purse's Post,,,https://www.linkedin.com/posts/jonny-purse-a2b8a113a_were-open-for-business-for-any-waste-activity-7150192042952851456-Kd1L,2024-11-23 23:43:13
Addition of food loss and waste management requirements to FSSC 22000 version 6 shows a bigger focus on being sustainable. This fits with FSSC's goal of ...,G-Other Hazardous Waste,New Tech and Collaborations at Walmart and Sam's Club ...,,,https://www.linkedin.com/posts/walmart_new-tech-and-collaborations-at-walmart-and-activity-7223735684430245890-lZoZ,2024-11-23 23:43:13
"Businesses with over 10 employees must comply with new waste management requirements, including separating food waste, mixed recycling, and general waste.",G-Other Hazardous Waste,Igors Gorkins on LinkedIn: 🤩Thank you very much!🤩,,,https://www.linkedin.com/posts/igorsgor_thank-you-very-much-activity-7161713385158393857-_U5a,2024-11-23 23:43:13
"E360S offers businesses and institutions a comprehensive solution for managing both hazardous and non-hazardous liquid waste, serving as a convenient…",B-E-waste,Post de Environmental 360 Solutions,,,https://fr.linkedin.com/posts/environmental-360-solutions_e360s-e360s-activity-7199790547371245568-4L8t,2024-11-23 23:43:37
Plastics multiplies the value of oil by 8 or more times so it's not surprising that pushing back on plastic will encounter considerable resistance.,A-Plastic Waste,Alastair Marsh,Morgan Stanley to tackle plastic waste,,https://www.linkedin.com/posts/alastair-marsh-96526912_morgan-stanley-quietly-walks-away-from-plastics-activity-7237403552078262273-ickO,2024-11-23 23:43:21
This worldwide initiative enables millions to contribute to solving the plastic pollution problem. Plastic production waste is increasing at rapid rates.,A-Plastic Waste,Innovation News Network's Post,,,https://www.linkedin.com/posts/innovation-news-network_plasticfreejuly-plasticwaste-plastic-activity-7214180788752318465-3jCU,2024-11-23 23:43:21
The latest report published by Roland Berger provides an outlook on Global Plastic Waste Management in the context of municipal solid waste management.,A-Plastic Waste,Aduro Clean Technologies Inc. posted on the topic,,,https://www.linkedin.com/posts/adurocleantech_plastic-waste-revolution-activity-7201206312309825536-VZ0Y,2024-11-23 23:43:22
"I found that supermarkets package individual vegetables in plastic bags to extend shelf life, ensure hygiene, provide convenience to consumers, include branding ...",A-Plastic Waste,Vojtech Vegh's Post,foodwaste #plasticwaste #banana,,https://www.linkedin.com/posts/vojtechvegh_foodwaste-plasticwaste-banana-activity-7232340763831930882-7f6B,2024-11-23 23:43:22
"🗣️""recycling ≠ sustainability"" 🗣️""the best waste is no waste"" Agree.. But what about our current (and near future) reality, overflowing with (plastic) waste?",A-Plastic Waste,Robin Dufek's Post,,,https://www.linkedin.com/posts/robin-dufek_plasticwaste-recycling-wastemanagement-activity-7166806440047804416-N2Tn,2024-11-23 23:43:22
"From 2000 to 2019, global plastic waste generation more than doubled, reaching a staggering 353 million tonnes. Single-use plastic (SUP) packaging now ...",A-Plastic Waste,Plantloop Biotech's Post,,,https://www.linkedin.com/posts/plantloop-biotech_sustainablefuture-plasticwaste-environmentalaction-activity-7244416553226567681-A2KT,2024-11-23 23:43:22
"The Ending Plastic Waste Symposium is a milestone in the battle against plastic pollution. You're invited to join 300 impactful people from industry, ...",A-Plastic Waste,"CSIRO on LinkedIn: Wrap it up, plastic waste ...",,,https://www.linkedin.com/posts/csiro_wrap-it-up-plastic-waste-the-ending-activity-7219279699217141760-H9Nh,2024-11-23 23:43:22
"New research has found that a staggering 220 million tonnes of plastic waste is set to be generated in 2024, marking a 7.11% increase since 2021. The ...",A-Plastic Waste,220 million tonnes of plastic waste will be created in 2024,,,https://www.linkedin.com/posts/pradip-burman_220-million-tonnes-of-plastic-waste-will-activity-7184527319724634113-FkYO,2024-11-23 23:43:22
"46% of plastic waste ends up in landfills, 22% becomes litter, 17% is incinerated, and only 15% is collected for recycling, with less than 9% effectively ...",A-Plastic Waste,Lone Veirup,700 million plastic bottles,,https://www.linkedin.com/posts/lone-veirup-30636312_700-million-plastic-bottles-we-worked-out-activity-7250256905716023296-YZFc,2024-11-23 23:43:22
Global plastic waste has skyrocketed from 180 million tonnes in the 1990s to over 350 million tonnes today (OECD - OCDE Global Plastics Outlook).,A-Plastic Waste,rePurpose Global posted on the topic,,,https://www.linkedin.com/posts/repurposeglobal_plasticrecovery-environmentalimpact-circulareconomy-activity-7212445541794729984-IGE2,2024-11-23 23:43:22
"Happy Earth Day 2024! This year, let's take a stand for our planet with the theme ""Planet vs. Plastics."" Did you know that the world has generated…",A-Plastic Waste,Raj Gore's Post,,,https://www.linkedin.com/posts/rajgore_sustainable-earthday2024-plasticwaste-activity-7188046739377946625-YvgU,2024-11-23 23:43:22
"Global municipal solidwaste is expected to double by 2050, driven by population growth and increased consumption in emerging markets.",A-Plastic Waste,Mario Sanchez on LinkedIn: #plastic #waste #municipal ...,,,https://www.linkedin.com/posts/mario-sanchez-489b8839_plastic-waste-municipal-activity-7204044504478265344-T4h1,2024-11-23 23:43:22
"In this op-ed for The Jakarta Post, BCG's Arun Rajamani and Kar Min Lim discuss some of Indonesia's roadmaps and initiatives to tackle its plastic burden.",A-Plastic Waste,Boston Consulting Group (BCG)'s Post,,,https://www.linkedin.com/posts/boston-consulting-group_taking-plastics-full-circle-creating-a-sustainable-activity-7194199449965875201-bc06,2024-11-23 23:43:22
We are making a change to our self-sampling test kits. We are transitioning from hard 'clamshell' plastic packaging that we have been using for transporting ...,A-Plastic Waste,How Preventx is reducing its plastic waste,,,https://www.linkedin.com/posts/preventx-limited_sustainability-environment-plasticwaste-activity-7155923415151833088-VLO1,2024-11-23 23:43:22
Only 9% of plastics are recycled due to inefficiencies and contamination. New innovations and systemic changes are crucial to tackle the plastic waste crisis.,A-Plastic Waste,MIT Technology Review's Post,,,https://www.linkedin.com/posts/mit-technology-review_heres-the-problem-with-new-plastic-recycling-activity-7217157226115858434-L2tT,2024-11-23 23:43:22
"But now, thanks to the introduction of community waste banks, Untia is turning the tide on plastic waste. ... plasticwaste #plasticpollution #plasticimpact # ...",A-Plastic Waste,The Circulate Initiative posted on the topic,,,https://www.linkedin.com/posts/thecirculateinitiative_responsiblesourcing-circulareconomy-plasticwaste-activity-7216369560642314240-DhlQ,2024-11-23 23:43:22
"Packaging accounts for almost 40 percent of the total weight of plastic waste generated worldwide, its reduction and recycling is a priority in the fight ...",A-Plastic Waste,Shalini Goyal Bhalla's Post,,,https://www.linkedin.com/posts/shalinigoyalbhalla_infographic-the-world-is-flooded-with-plastic-activity-7214479014034382849-KTYe,2024-11-23 23:43:22
"The unimaginable amount of plastic waste washing up on beaches, polluting coral reefs, and killing marine life is alarming.",A-Plastic Waste,Cyrill Gutsch on LinkedIn: The Plastic Crisis,,,https://www.linkedin.com/posts/cyrill-gutsch-91897410b_the-plastic-crisis-at-parley-for-the-oceans-activity-7173610051113213952-4anG,2024-11-23 23:43:23
Great Win for Circularity! New Tech Promises to Recycle All Plastics Forever Without Separation Plastic recycling at scale has always been hampered by…,A-Plastic Waste,Frederico C. Muzzi's Post,,,https://www.linkedin.com/posts/frederico-muzzi-black-soldier-fly_sustainability-recyclinginnovation-plasticwaste-activity-7191035173096800258-QUjC,2024-11-23 23:43:23
"Every year, humans produce 300 million tonnes of plastic waste, including 11 million tonnes that eventually wind up in the ocean.",A-Plastic Waste,United Nations on LinkedIn: #saveourocean,,,https://www.linkedin.com/posts/united-nations_saveourocean-activity-7176247113402482688-xkKu,2024-11-23 23:43:23
The policies are: mandate new products be made with 40% post-consumer recycled plastic; cap new plastic production at 2020 levels; invest significantly in ...,A-Plastic Waste,"Pure Strategies, Inc.'s Post",,,https://www.linkedin.com/posts/pure-strategies_as-plastic-treaty-talks-near-study-shows-activity-7263223448439513089-oXtT,2024-11-23 23:43:23
Introducing our country fact sheets on investments to tackle plastic pollution: A comprehensive resource which provides data and insights on the key topics ...,A-Plastic Waste,Investments to Tackle Plastics Pollution: Country Fact Sheets,,,https://www.linkedin.com/posts/thecirculateinitiative_investments-to-tackle-plastics-pollution-activity-7186289188755910656-_MZy,2024-11-23 23:43:23
"As one of the most traded goods, #plastic plays a major role in the global economy. As such, efforts to curb its use will create challenges for exporters.",A-Plastic Waste,How to curb plastic pollution in the global economy,,,https://www.linkedin.com/posts/impakter_avoiding-a-trade-crisis-as-countries-look-activity-7231650350779236354-zuEW,2024-11-23 23:43:23
"ONLY 9% of all plastic globally gets recycled! Do what you can to make sure your plastic items get recycled, or better yet avoid using single-use plastics ...",A-Plastic Waste,Don't Waste Group's Post,,,https://www.linkedin.com/posts/don%27t-waste_plasticfreejuly-plastic-reusable-activity-7216682771795107840-1d_c,2024-11-23 23:43:23
"Part of a mega #infographic on plastics everything you need to understand about recycling, bioplastics, compostability, microplastics and things that can ...",A-Plastic Waste,David McCandless on LinkedIn: #infographic,,,https://www.linkedin.com/posts/david-mccandless-4641b54_infographic-activity-7191118138988470272-y8d4,2024-11-23 23:43:23
The NHS uses the most single-use plastic in Europe. But the government has a 'radical' new plan... It's called the 'Design for Life roadmap' and it lays…,A-Plastic Waste,Alex Robinson's Post,,,https://www.linkedin.com/posts/alexjrobinson_environment-sustainability-plastic-activity-7252585380804194305-UyT-,2024-11-23 23:43:23
Thank you for sharing this insightful report on recycling maturity. It's great to see that the Alliance to End Plastic Waste and Roland Berger are taking a ...,A-Plastic Waste,LyondellBasell's Post,,,https://www.linkedin.com/posts/lyondell-basell_climateweeknyc-solutionsforchange-endplasticwaste-activity-7243650256310050816-2kyl,2024-11-23 23:43:23
Plastic packaging and single-use plastics (SUPs) account for 35% of all plastics on the market in 2018. They also make up over 50% of all plastic waste…,A-Plastic Waste,Canada's zero plastic waste strategy,,,https://www.linkedin.com/posts/live-for-tomorrow_plasticfree-reduceplastic-reduceplasticwaste-activity-7202417732959494144-8L-O,2024-11-23 23:43:23
"The Alliance to End Plastic Waste project, HolyGrail 2.0, is developing digital watermarks — stamp-sized codes printed on plastic packaging — that carry…",A-Plastic Waste,"Han Zhang, Ph.D.'s Post",,,https://www.linkedin.com/posts/han-zhang-ph-d-44063813_is-digital-watermarking-the-future-of-plastic-activity-7209218129015525376-0RT1,2024-11-23 23:43:23
"-This Earth Day the focus is on the global plastic pollution crisis -Plastic waste is everywhere, from the deepest part of the ocean to inside human bodies - ...",A-Plastic Waste,Plastic Bags vs PlasticFri® 🌍 Plastic bags contribute ...,,,https://www.linkedin.com/posts/plasticfri_plastic-bags-vs-plasticfri-plastic-activity-7257063310527787008-uQdX,2024-11-23 23:43:23
This is Huge! 100000 kg of Plastic Removed from the Great Pacific Garbage Patch! The Ocean Cleanup has successfully removed 100000 kg of plastic from the…,A-Plastic Waste,Endrit Restelica's Post,,,https://www.linkedin.com/posts/endritrestelica_this-is-huge-100000-kg-of-plastic-removed-activity-7261365741549985792-w6Tb,2024-11-23 23:43:23
"Plastics, often seen as a single material, actually encompass a diverse range of polymers with unique properties and applications.",A-Plastic Waste,BASF on LinkedIn: #ourplasticsjourney #plastics ...,,,https://www.linkedin.com/posts/basf_ourplasticsjourney-plastics-polymerdiversity-activity-7255114797845811200-hjyy,2024-11-23 23:43:23
"We are happy to announce that today we priced our fourth outcome bond, a seven-year $100 million, principal-protected Plastic Waste Reduction-Linked…",A-Plastic Waste,The World Bank Treasury (IBRD • IDA)'s Post,,,https://www.linkedin.com/posts/the-world-bank-treasury_reduceplasticwaste-activity-7156061726336004097-06pl,2024-11-23 23:43:23
"Do you want a planet with or without plastic waste? Definitely not! Today, on World Earth Day, we are thrilled to share some uplifting news: Last week, we…",A-Plastic Waste,New Life Plastics Ltd's Post,,,https://www.linkedin.com/posts/new-life-plastics-ltd_milestone-earthday-plasticwaste-activity-7188071391059947520-pRI2,2024-11-23 23:43:23
The September EPR deadline is fast approaching. Are you prepared to meet your environmental obligations and contribute to a cleaner India? ♻ Extended…,A-Plastic Waste,Plastics For Change 's Post,,,https://www.linkedin.com/posts/plasticsforchange_epr-sustainability-plasticfree-activity-7229085765119397888-l-w4,2024-11-23 23:43:23
Single-use plastics pose a major environmental threat for several reasons: They are rarely recycled – Only about 14% of plastic packaging is collected for ...,A-Plastic Waste,Naser Pouresmaeil's Post,,,https://www.linkedin.com/posts/naser-pouresmaeil-b176aa166_landfill-plastic-environmental-activity-7200398567906119681-uGiD,2024-11-23 23:43:23
Plastic pollution has no place in the environment. Our own Christine Bryant will be joining the INC-4 meeting in Canada to share how designing for ...,A-Plastic Waste,Russell Glorioso's Post,,,https://www.linkedin.com/posts/russellglorioso_plastic-pollution-has-no-place-in-the-environment-activity-7188943762650238976-fC3t,2024-11-23 23:43:23
Abel Abraham Jacob was on a train when he the magnitude of the problem of plastic waste dawned upon him. This sparked his determination to find a solution.,A-Plastic Waste,The Better India's Post,,,https://www.linkedin.com/posts/thebetterindia_innovation-sustainability-plasticwaste-activity-7240290735386746881-t68e,2024-11-23 23:43:23
"I have underlined immediate need for comprehensive globalpolicies - from enhancing plasticwaste management and recycling, to curbing plastic use and waste.",A-Plastic Waste,Dr. Ravindra Utgikar's Post,,,https://www.linkedin.com/posts/dr-ravindra-utgikar-5061a410_environment-biodiversity-plastic-activity-7259765108422180864-Hr6q,2024-11-23 23:43:23
Plastic waste management in urban areas is a significant challenge due to the high volume of waste generated and the complexities involved in its disposal and ...,A-Plastic Waste,Plastic waste management in urban areas is a significant ...,,,https://www.linkedin.com/posts/sanjay-chauhan-4ba358203_plastic-waste-management-in-urban-areas-is-activity-7217912371413970944-cADL,2024-11-23 23:43:23
The upgrade to the customer favorite marks a new milestone for Nilfisk and how we make vacuums PCR (Post-Consumer Recycled) plastic is plastic waste from ...,A-Plastic Waste,Nilfisk's Post,,,https://www.linkedin.com/posts/nilfisk_the-vp300-r-vacuum-made-from-30-recycled-activity-7188522531350331394-bDcA,2024-11-23 23:43:23
Great to see the data proving the NILO concept is coming through. Looking forward to seeing more applications to reduce waste plastic. Like.,A-Plastic Waste,NILO's Post,plasticwaste #binder #woodfibreboard,,https://www.linkedin.com/posts/nilo-ltd_plasticwaste-binder-woodfibreboard-activity-7202188866781421569-skEf,2024-11-23 23:43:23
"The #chemicals and #plastics revolution of the 20th century profoundly shaped modern life, bringing both incredible advancements and significant challenges ...",A-Plastic Waste,IDTechEx on LinkedIn: #chemicals #plastics #sustainability ...,,,https://www.linkedin.com/posts/idtechex_chemicals-plastics-sustainability-activity-7263174759771693056-6om9,2024-11-23 23:43:23
"WWF is looking for a dedicated consultant, or team of consultants, to contribute to our critical work on the global plastic pollution treaty.",A-Plastic Waste,Exciting consultancy role supporting WWF's plastic pollution,,,https://www.linkedin.com/posts/johnandrewduncan_exciting-consultancy-role-supporting-wwfs-activity-7209443074161233920-KFEq,2024-11-23 23:43:23
We can't recycle our way out of the plastics crisis. Only nine percent (9%) of plastic is recycled - and more plastic is burned than recycled. Green Century ...,A-Plastic Waste,Leslie Samuelrich's Post,,,https://www.linkedin.com/posts/leslie-samuelrich_good-news-from-costco-and-us-a-new-plastic-activity-7187154822226169856-IYej,2024-11-23 23:43:23
Ele-Collection is the ultimate solution to all plastic waste.,B-E-waste,Ele-Collection is the ultimate solution to all plastic waste.,,,https://www.linkedin.com/posts/ele-collection-enterprises_ele-collection-is-the-ultimate-solution-to-activity-7154774921804423168-QKgi,2024-11-23 23:43:23
... plasticwaste and want to reduce their impact by localising their #supplychain. We think CROWD-SUD can offer a cost effective and high quality alternative ...,A-Plastic Waste,Dr Jennifer Rao-Williams' Post,,,https://www.linkedin.com/posts/jenniferraowilliams_makingithappen-dundee-plasticwaste-activity-7204159749477552128-PHzn,2024-11-23 23:43:23
"Swing by NPE - The Plastic Show 2024! It's day two at NPE, we're showcasing our sustainable plastic recycling solutions for a circular economy! Stop by…",A-Plastic Waste,Dalmia Polypro Industries Private Limited's Post,,,https://www.linkedin.com/posts/dalmia_npe2024-npetheplasticshow-dalmiapolypro-activity-7193538265415593984-adjc,2024-11-23 23:43:23
... plastic waste. RVMs were installed in the stadiums where ICC Men's ... #plasticwaste #disposal #recycle. No alternative text description for this ...,A-Plastic Waste,The Coca-Cola Company's Post,,,https://www.linkedin.com/posts/the-coca-cola-company_worldwithoutwaste-circulareconomy-recycling-activity-7200825257811718145-sj5s,2024-11-23 23:43:23
From Trash to Treasure: Innovators Reshaping Australia's Plastic Landscape We contribute significantly to plastic usage and Earth's pollution. For example…,A-Plastic Waste,The enviro-tech pioneers trying to shift Australia off plastics,,,https://www.linkedin.com/posts/san-murugesan-60700a9_the-enviro-tech-pioneers-trying-to-shift-activity-7188024985448333315-T_IC,2024-11-23 23:43:23
I believe our priority today should be finding solutions for microplastics and protecting animals on land and in water from plastic pollution.,A-Plastic Waste,RAJESH PAHWA 🇮🇳 on LinkedIn: #plastic #recycling ...,,,https://www.linkedin.com/posts/rajeshpahwa_plastic-recycling-environment-activity-7231185282698518528-dpva,2024-11-23 23:43:23
"This project showcases the potential for plastics recycling in Indonesia, while the certified blue loan aims to attract more investors into waste management ...",A-Plastic Waste,ALBA Group Asia's Post,,,https://www.linkedin.com/posts/albagroupasia_alba-tridi-plastics-recycling-indonesia-welcomes-activity-7214824716409171968-z4K1,2024-11-23 23:43:23
"TL;DR: I'm launching something new—Matched Materials. I f*cking hate plastics. Whenever I walk down a store aisle packed full of plastic, I feel exhausted ...",A-Plastic Waste,Daniel Westcott on LinkedIn: Matched Materials,,,https://www.linkedin.com/posts/daniel-j-westcott_matched-materials-activity-7241264534705868800-5QwG,2024-11-23 23:43:23
"My guest column in today's Odia NewsPaper Prameya “ଏ.ଆଇ. ଏବଂ ପ୍ଲାଷ୍ଟିକ ବର୍ଜ୍ୟବସ୍ତୁ ପରିଚାଳନା (AI & Plastic Waste Management)”, If interest, may please read &…",A-Plastic Waste,Dr. Piyush Ranjan Rout,,,https://www.linkedin.com/posts/dr-piyush-ranjan-rout-9681027_urbanplanning-plasticwaste-artificialinteligence-activity-7223586061300461569-CQBR,2024-11-23 23:43:23
... plastic waste. This initiative follows our successful ... ♻️ #Sustainability #Recycling #Collaboration #Valipac #Valorlux #PlasticWaste #CircularEconomy.,A-Plastic Waste,sustainability #recycling #collaboration #valipac #valorlux ...,,,https://www.linkedin.com/posts/val-i-pac_sustainability-recycling-collaboration-activity-7257692816959574016-thDC,2024-11-23 23:43:24
You've done incredible work understanding plastic recycling costs and optimizing lits operations. This gives a fairer Extended Producer Responsibility (EPR) ...,A-Plastic Waste,Irdanto Saputra Lase's Post,,,https://www.linkedin.com/posts/irdantosaputra_exposing-the-pitfalls-of-plastics-mechanical-activity-7236623333151117312-BAaj,2024-11-23 23:43:24
We had a great time connecting with everyone at Plastics Recycling LATAM! Thank you for making the event a success and for your continued support. At the…,A-Plastic Waste,Nexeo Plastics' Post,,,https://www.linkedin.com/posts/nexeoplastics_sustainability-plasticsrecyclinglatam-activity-7240115681197703168-RH5k,2024-11-23 23:43:24
Map shows the quantity of plastic waste generated in Indian states. The first map shows the numbers based on total plastic waste generated per capita and ...,A-Plastic Waste,Jyoti Singh on LinkedIn: #map #earthday #planetvsplastic,,,https://www.linkedin.com/posts/jyotisingh26_map-earthday-planetvsplastic-activity-7188099584831688704-aJs1,2024-11-23 23:43:24
"Today, October 28th, 2024, marked the start of the 2-day ASEAN Conference for Combating Plastic Pollution (ACCPP). This event brought together key ...",A-Plastic Waste,Regional Knowledge Centre for Marine Plastic Debris' Post,,,https://www.linkedin.com/posts/regional-knowledge-centre-for-marine-plastic-debris_asean-conference-plasticpollution-activity-7256635182256934912-m08F,2024-11-23 23:43:24
"The Ocean's Secret Plastic Eaters Scientists have discovered fungus that can eat plastic! Deep beneath the ocean's surface, something extraordinary is…",A-Plastic Waste,Pir Arkam's Post,,,https://www.linkedin.com/posts/pirarkam_the-oceans-secret-plastic-eaters-scientists-activity-7238148955534950401-9i3P,2024-11-23 23:43:24
Be part of the movement towards a sustainable future! Exhibit at The Global Conclave on Plastic Recycling and Sustainability and showcase your innovative…,A-Plastic Waste,The All India Plastics Manufacturers Association's Post,,,https://www.linkedin.com/posts/the-all-india-plastics-manufacturers-association_plasticrecycling-sustainability-globalconclave-activity-7162730828962164736-EUED,2024-11-23 23:43:24
